#x(km) y(km) depth(km) Pressure(bar) Temperature(oC) Density(kg/m3) Vs_diff(km/s)
   100.000    100.000    290.000  96435.300   1482.590   3493.570      0.000
   105.000    105.000    290.000  96435.300   1482.590   3493.570      0.002
   110.000    110.000    290.000  96435.300   1482.590   3493.570      0.002
   115.000    115.000    290.000  96435.300   1474.805   3494.560      0.000
   120.000    120.000    290.000  96435.300   1474.805   3494.560      0.002
   125.000    125.000    290.000  96435.300   1474.805   3494.560      0.002
   130.000    130.000    290.000  96435.300   1467.020   3495.230      0.002
   135.000    135.000    290.000  96435.300   1467.020   3495.230      0.002
   140.000    140.000    290.000  96435.300   1490.370   3492.640      0.003
   145.000    145.000    290.000  96435.300   1467.020   3495.230      0.000
   150.000    150.000    290.000  96435.300   1467.020   3495.230      0.002
   155.000    155.000    290.000  96435.300   1459.240   3495.805      0.000
   160.000    160.000    290.000  96435.300   1459.240   3495.805      0.002
   165.000    165.000    290.000  96435.300   1451.455   3496.630      0.001
   170.000    170.000    290.000  96435.300   1435.890   3498.030      0.001
   175.000    175.000    290.000  96435.300   1428.110   3498.230      0.001
   180.000    180.000    290.000  96435.300   1420.325   3499.230      0.001
   185.000    185.000    290.000  96435.300   1412.540   3500.155      0.002
   190.000    190.000    290.000  96435.300   1412.540   3500.155      0.002
     0.000      0.000    285.000  95006.800   1677.150   3470.725      0.002
     5.000      5.000    285.000  95006.800   1669.370   3471.440      0.001
    10.000     10.000    285.000  95006.800   1653.800   3472.865      0.002
    15.000     15.000    285.000  95006.800   1653.800   3472.865      0.001
    20.000     20.000    285.000  95006.800   1653.800   3472.865      0.000
    25.000     25.000    285.000  95006.800   1653.800   3472.865      0.002
    30.000     30.000    285.000  95006.800   1638.240   3474.275      0.002
    35.000     35.000    285.000  95006.800   1614.890   3476.400      0.002
    40.000     40.000    285.000  95006.800   1599.325   3477.855      0.001
    45.000     45.000    285.000  95006.800   1591.540   3478.580      0.002
    50.000     50.000    285.000  95006.800   1568.195   3482.390      0.000
    55.000     55.000    285.000  95006.800   1537.065   3484.940      0.002
    60.000     60.000    285.000  95006.800   1513.720   3485.705      0.001
    65.000     65.000    285.000  95006.800   1482.590   3488.800      0.001
    70.000     70.000    285.000  95006.800   1490.370   3487.530      0.002
    75.000     75.000    285.000  95006.800   1490.370   3487.530      0.000
    80.000     80.000    285.000  95006.800   1505.935   3486.315      0.001
    85.000     85.000    285.000  95006.800   1505.935   3486.315      0.001
    90.000     90.000    285.000  95006.800   1505.935   3486.315      0.001
    95.000     95.000    285.000  95006.800   1505.935   3486.315      0.001
   100.000    100.000    285.000  95006.800   1505.935   3486.315      0.001
   105.000    105.000    285.000  95006.800   1505.935   3486.315      0.002
   110.000    110.000    285.000  95006.800   1498.150   3486.925      0.000
   115.000    115.000    285.000  95006.800   1498.150   3486.925      0.001
   120.000    120.000    285.000  95006.800   1498.150   3486.925      0.002
   125.000    125.000    285.000  95006.800   1490.370   3487.530      0.000
   130.000    130.000    285.000  95006.800   1482.590   3488.800      0.000
   135.000    135.000    285.000  95006.800   1490.370   3487.530      0.002
   140.000    140.000    285.000  95006.800   1505.935   3486.315      0.002
   145.000    145.000    285.000  95006.800   1490.370   3487.530      0.001
   150.000    150.000    285.000  95006.800   1482.590   3488.800      0.000
   155.000    155.000    285.000  95006.800   1482.590   3488.800      0.002
   160.000    160.000    285.000  95006.800   1474.805   3490.125      0.000
   165.000    165.000    285.000  95006.800   1474.805   3490.125      0.002
   170.000    170.000    285.000  95006.800   1459.240   3491.500      0.002
   175.000    175.000    285.000  95006.800   1451.455   3492.345      0.001
   180.000    180.000    285.000  95006.800   1443.670   3492.600      0.001
   185.000    185.000    285.000  95006.800   1428.110   3494.255      0.000
   190.000    190.000    285.000  95006.800   1428.110   3494.255      0.001
     0.000      0.000    280.000  92864.000   1692.720   3461.765      0.002
     5.000      5.000    280.000  92864.000   1684.935   3462.550      0.001
    10.000     10.000    280.000  92864.000   1669.370   3464.080      0.002
    15.000     15.000    280.000  92864.000   1669.370   3464.080      0.001
    20.000     20.000    280.000  92864.000   1677.150   3463.365      0.003
    25.000     25.000    280.000  92864.000   1669.370   3464.080      0.001
    30.000     30.000    280.000  92864.000   1653.800   3465.605      0.002
    35.000     35.000    280.000  92864.000   1630.455   3467.780      0.003
    40.000     40.000    280.000  92864.000   1614.890   3469.225      0.000
    45.000     45.000    280.000  92864.000   1607.110   3469.950      0.001
    50.000     50.000    280.000  92864.000   1591.540   3471.415      0.003
    55.000     55.000    280.000  92864.000   1544.850   3476.840      0.001
