# age(Ma) depth(km) Vs(km/s)
0	400	4.76929759979
5	400	4.77181100845
10	400	4.78008174896
15	400	4.7767663002
20	400	4.77504396439
25	400	4.77775621414
30	400	4.77941131592
35	400	4.7851266861
40	400	4.78765439987
45	400	4.78765535355
50	400	4.7814116478
55	400	4.78295135498
60	400	4.78617095947
65	400	4.79101467133
70	400	4.78807020187
75	400	4.79082584381
80	400	4.78800725937
85	400	4.79121685028
90	400	4.78737258911
95	400	4.7906832695
100	400	4.78982591629
105	400	4.79142999649
110	400	4.79497241974
115	400	4.79226636887
120	400	4.79862689972
125	400	4.79932546616
130	400	4.79118537903
135	400	4.80116510391
140	400	4.79871511459
145	400	4.79272842407
150	400	4.7957983017
155	400	4.81153106689
160	400	4.80600118637
165	400	4.81641721725
170	400	4.81994247437
175	400	4.81829309464
180	400	4.82964897156
185	400	4.84673833847
190	400	4.85940694809
0	395	4.75844573975
5	395	4.76169967651
10	395	4.76743125916
15	395	4.76522541046
20	395	4.76322507858
25	395	4.76353502274
30	395	4.76709651947
35	395	4.77207040787
40	395	4.77430057526
45	395	4.77442598343
50	395	4.77203941345
55	395	4.77363920212
60	395	4.77614927292
65	395	4.77957868576
70	395	4.77744293213
75	395	4.77735137939
80	395	4.77535963058
85	395	4.77629470825
90	395	4.77499723434
95	395	4.77554130554
100	395	4.77523517609
105	395	4.77593421936
110	395	4.77744626999
115	395	4.77703714371
120	395	4.77983570099
125	395	4.78008699417
130	395	4.77787590027
135	395	4.77978467941
140	395	4.77799463272
145	395	4.77723646164
150	395	4.78006982803
155	395	4.78718519211
160	395	4.78813028336
165	395	4.79325294495
170	395	4.79755735397
175	395	4.79971599579
180	395	4.80622053146
185	395	4.81552791595
190	395	4.82320022583
0	390	4.74834823608
5	390	4.75077676773
10	390	4.75747680664
15	390	4.75386762619
20	390	4.75165510178
25	390	4.74989032745
30	390	4.75552511215
35	390	4.76089000702
40	390	4.76257133484
45	390	4.76326370239
50	390	4.76245498657
55	390	4.76529216766
60	390	4.76695632935
65	390	4.77130460739
70	390	4.76760005951
75	390	4.76671409607
80	390	4.76394224167
85	390	4.76470041275
90	390	4.76432132721
95	390	4.76349020004
100	390	4.76317930222
105	390	4.76325559616
110	390	4.76400947571
115	390	4.76397180557
120	390	4.76552963257
125	390	4.76544809341
130	390	4.76644563675
135	390	4.76411581039
140	390	4.76154851913
145	390	4.76470041275
150	390	4.76689052582
155	390	4.76981449127
160	390	4.77308559418
165	390	4.77538013458
170	390	4.78094673157
175	390	4.78468465805
180	390	4.78786993027
185	390	4.79212474823
190	390	4.79489946365
0	385	4.73794126511
5	385	4.7409734726
10	385	4.74639415741
15	385	4.74376058578
20	385	4.74122095108
25	385	4.74049520493
30	385	4.7458319664
35	385	4.75143432617
40	385	4.75374507904
45	385	4.75477647781
50	385	4.7551112175
55	385	4.75841426849
60	385	4.76097631454
65	385	4.76468849182
70	385	4.7620139122
75	385	4.76029777527
80	385	4.75757074356
85	385	4.75797367096
90	385	4.75777101517
95	385	4.75696849823
100	385	4.75656843185
105	385	4.75676822662
110	385	4.75728416443
115	385	4.75762319565
120	385	4.75876522064
125	385	4.75918006897
130	385	4.76007270813
135	385	4.75785493851
140	385	4.75558519363
145	385	4.75812339783
150	385	4.76028394699
155	385	4.7627453804
160	385	4.76581001282
165	385	4.76838588715
170	385	4.77349185944
175	385	4.77725982666
180	385	4.78017520905
185	385	4.78352737427
190	385	4.78587579727
0	380	4.7295050621
5	380	4.73173141479
10	380	4.73894166946
15	380	4.73510456085
20	380	4.73267745972
25	380	4.73207616806
30	380	4.73838806152
35	380	4.74477148056
40	380	4.74700164795
45	380	4.74834346771
50	380	4.74845790863
55	380	4.75319242477
60	380	4.7557425499
65	380	4.76126289368
70	380	4.75766468048
75	380	4.75650405884
80	380	4.75278759003
85	380	4.75408887863
90	380	4.75390052795
95	380	4.75307130814
100	380	4.75269126892
105	380	4.75325632095
110	380	4.75385713577
115	380	4.75424814224
120	380	4.75562477112
125	380	4.75598669052
130	380	4.75767374039
135	380	4.75541400909
140	380	4.75221347809
145	380	4.75528621674
150	380	4.75708580017
155	380	4.75952672958
160	380	4.76272439957
165	380	4.76487445831
170	380	4.77058076859
175	380	4.77408313751
180	380	4.77712869644
185	380	4.78128767014
190	380	4.78379440308
0	375	4.72336244583
5	375	4.72636604309
10	375	4.73178386688
15	375	4.72929143906
20	375	4.72695302963
25	375	4.72703456879
30	375	4.73277759552
35	375	4.73891592026
40	375	4.74157762527
45	375	4.74293804169
50	375	4.74365949631
55	375	4.74797153473
60	375	4.75150203705
65	375	4.75647640228
70	375	4.75416660309
75	375	4.75246953964
80	375	4.74943208694
85	375	4.75011014938
90	375	4.75005435944
95	375	4.74936771393
100	375	4.74905776978
105	375	4.74954843521
110	375	4.75013589859
115	375	4.7506608963
120	375	4.75185203552
125	375	4.75247097015
130	375	4.75362157822
135	375	4.75154972076
140	375	4.74883699417
145	375	4.75106096268
150	375	4.75296640396
155	375	4.75530481339
160	375	4.75822973251
165	375	4.76080274582
170	375	4.76596355438
175	375	4.76959991455
180	375	4.77283239365
185	375	4.7767663002
190	375	4.77949762344
0	370	4.71863269806
5	370	4.72091388702
10	370	4.72741794586
15	370	4.72398471832
20	370	4.72177791595
25	370	4.72159004211
30	370	4.72788572311
35	370	4.73439979553
40	370	4.73668861389
45	370	4.73814582825
50	370	4.73819732666
55	370	4.74320888519
60	370	4.74633455276
65	370	4.75319099426
70	370	4.74972200394
75	370	4.74862289429
80	370	4.74484729767
85	370	4.74621629715
