# Long Lat depth(km) Vs(km/s)
31.5 54.5 200 4.63220977783
32 54.5 200 4.62686014175
32.5 54.5 200 4.61817979813
33 54.5 200 4.60857009888
33.5 54.5 200 4.59800004959
34 54.5 200 4.59014987946
34.5 54.5 200 4.58692979813
35 54.5 200 4.58739995956
35.5 54.5 200 4.58982992172
36 54.5 200 4.59170007706
36.5 54.5 200 4.59320020676
37 54.5 200 4.5941400528
37.5 54.5 200 4.5986700058
38 54.5 200 4.60819005966
38.5 54.5 200 4.62239980698
39 54.5 200 4.63382005692
39.5 54.5 200 4.64194011688
40 54.5 200 4.64675998688
-10 54 200 4.41999006271
-9.5 54 200 4.41056013107
-9 54 200 4.40910005569
-8.5 54 200 4.41414022446
-8 54 200 4.42126989365
-7.5 54 200 4.42947006226
-7 54 200 4.44225978851
-6.5 54 200 4.45663022995
-6 54 200 4.46389007568
-5.5 54 200 4.47208023071
-5 54 200 4.48999977112
-4.5 54 200 4.50671005249
-4 54 200 4.51608991623
-3.5 54 200 4.52796983719
-3 54 200 4.54463005066
-2.5 54 200 4.56240987778
-2 54 200 4.58101987839
-1.5 54 200 4.59944009781
-1 54 200 4.61339998245
-0.5 54 200 4.62442016602
0 54 200 4.63320016861
0.5 54 200 4.63672018051
1 54 200 4.63186979294
1.5 54 200 4.62362003326
2 54 200 4.61577987671
2.5 54 200 4.60669994354
3 54 200 4.59664011002
3.5 54 200 4.58662986755
4 54 200 4.57879018784
4.5 54 200 4.5738401413
5 54 200 4.56902980804
5.5 54 200 4.56388998032
6 54 200 4.55883979797
6.5 54 200 4.55060005188
7 54 200 4.53884983063
7.5 54 200 4.52722978592
8 54 200 4.51502990723
8.5 54 200 4.4986000061
9 54 200 4.48179006577
9.5 54 200 4.46832990646
10 54 200 4.45233011246
10.5 54 200 4.43256998062
11 54 200 4.41773986816
11.5 54 200 4.41554021835
12 54 200 4.4255900383
12.5 54 200 4.43812990189
13 54 200 4.4488902092
13.5 54 200 4.4726600647
14 54 200 4.50814008713
14.5 54 200 4.53699016571
15 54 200 4.56401014328
15.5 54 200 4.59565019608
16 54 200 4.62030982971
16.5 54 200 4.62581014633
17 54 200 4.61765003204
17.5 54 200 4.60784006119
18 54 200 4.59981012344
18.5 54 200 4.59468984604
19 54 200 4.59080982208
19.5 54 200 4.5883898735
20 54 200 4.59097003937
20.5 54 200 4.6022901535
21 54 200 4.61736011505
21.5 54 200 4.62273979187
22 54 200 4.61888980865
22.5 54 200 4.61414003372
23 54 200 4.61015987396
23.5 54 200 4.60655021667
24 54 200 4.60129976273
24.5 54 200 4.5947098732
25 54 200 4.59053993225
25.5 54 200 4.59166002274
26 54 200 4.59985017776
26.5 54 200 4.61228990555
27 54 200 4.62172985077
27.5 54 200 4.63095998764
28 54 200 4.64189004898
28.5 54 200 4.6512799263
29 54 200 4.65549993515
29.5 54 200 4.65461015701
30 54 200 4.65219020844
30.5 54 200 4.65162992477
31 54 200 4.65291023254
31.5 54 200 4.65003013611
32 54 200 4.64136981964
32.5 54 200 4.62948989868
33 54 200 4.61503982544
33.5 54 200 4.60254001617
34 54 200 4.59482002258
34.5 54 200 4.59441995621
35 54 200 4.59814977646
35.5 54 200 4.60117006302
36 54 200 4.60247993469
36.5 54 200 4.60103988647
37 54 200 4.59843015671
37.5 54 200 4.59737014771
38 54 200 4.59958982468
38.5 54 200 4.60488986969
39 54 200 4.61292982101
39.5 54 200 4.62296009064
40 54 200 4.63296985626
-10 53.5 200 4.41808986664
-9.5 53.5 200 4.40793991089
-9 53.5 200 4.40634012222
-8.5 53.5 200 4.41395998001
-8 53.5 200 4.42522001266
-7.5 53.5 200 4.43549013138
-7 53.5 200 4.44678020477
-6.5 53.5 200 4.45977020264
-6 53.5 200 4.46588993073
-5.5 53.5 200 4.47206020355
-5 53.5 200 4.48767995834
-4.5 53.5 200 4.50448989868
-4 53.5 200 4.51444005966
-3.5 53.5 200 4.52338981628
-3 53.5 200 4.53606987
-2.5 53.5 200 4.55134010315
-2 53.5 200 4.57110023499
-1.5 53.5 200 4.59283018112
